date,category,title,amount
2024-05-01,Transporte,Cinema,124.38831460051415
2024-05-01,Lazer,Ônibus,49.070622299735504
2024-05-01,Transporte,Uber,19.51427497538716
2024-05-01,Saúde,Uber,8.670442992650663
2024-05-01,Alimentação,Consulta médica,189.47855360518324
2024-05-01,Transporte,Ônibus,64.66362266064013
2024-05-02,Lazer,Aluguel,31.6042493867115
2024-05-02,Transporte,Uber,48.28290201284392
2024-05-02,Lazer,Restaurante X,31.090339520649298
2024-05-02,Saúde,Ônibus,193.36516567296974
2024-05-02,Saúde,Ônibus,55.707732290395626
2024-05-03,Casa,Consulta médica,23.837677128333254
2024-05-03,Saúde,Aluguel,27.744218301558732
2024-05-03,Lazer,Consulta médica,20.842542947501347
2024-05-03,Lazer,Consulta médica,37.05704495549765
2024-05-03,Transporte,Aluguel,110.7231017475305
2024-05-03,Casa,Consulta médica,168.53452137772308
2024-05-04,Transporte,Uber,122.41453595280294
2024-05-04,Casa,Consulta médica,149.51446063541556
2024-05-04,Saúde,Uber,193.4343107481713
2024-05-04,Casa,Consulta médica,195.7441399633512
2024-05-04,Casa,Consulta médica,133.37868750166632
2024-05-05,Alimentação,Uber,157.44667057790346
2024-05-05,Saúde,Ônibus,157.01231806574538
2024-05-05,Transporte,Uber,93.64310194064532
2024-05-05,Transporte,Consulta médica,179.7328656670608
2024-05-05,Lazer,Consulta médica,105.16556046138076
2024-05-05,Lazer,Uber,64.42183448291647
2024-05-06,Casa,Uber,126.37434018987098
2024-05-06,Lazer,Ônibus,33.96822884437658
2024-05-06,Lazer,Cinema,172.93030523962403
2024-05-06,Alimentação,Cinema,112.74680056547183
2024-05-06,Lazer,Ônibus,47.44340927815185
2024-05-07,Alimentação,Uber,111.15817333940322
2024-05-07,Lazer,Consulta médica,66.38588886576895
2024-05-07,Transporte,Cinema,199.75990056865191
2024-05-07,Transporte,Aluguel,178.27009696253123
2024-05-07,Casa,Cinema,115.15789577513799
2024-05-07,Alimentação,Consulta médica,159.97098961577785
2024-05-08,Casa,Aluguel,184.05894976065662
2024-05-08,Transporte,Restaurante X,57.167402183069626
2024-05-08,Alimentação,Aluguel,10.261352844686478
2024-05-08,Saúde,Cinema,105.95975898402263
2024-05-08,Saúde,Ônibus,73.97224270950001
2024-05-09,Transporte,Ônibus,83.3754253381689
2024-05-09,Saúde,Restaurante X,166.25476170378823
2024-05-09,Casa,Restaurante X,194.6490559739831
2024-05-09,Transporte,Ônibus,199.02730513249227
2024-05-09,Alimentação,Uber,46.268425617189465
2024-05-09,Saúde,Consulta médica,160.43476567287257
2024-05-10,Transporte,Uber,57.365035520482635
2024-05-10,Alimentação,Ônibus,94.95631988668289
2024-05-10,Saúde,Uber,107.77543760147852
2024-05-10,Casa,Aluguel,138.64686332974836
2024-05-10,Transporte,Restaurante X,157.39428549200744
2024-05-11,Casa,Uber,172.25563575650318
2024-05-11,Casa,Consulta médica,127.36977002271416
2024-05-11,Lazer,Restaurante X,170.074211093217
2024-05-11,Transporte,Restaurante X,122.4358271088893
2024-05-11,Alimentação,Restaurante X,169.85912794335607
2024-05-11,Transporte,Aluguel,62.22551282064419
2024-05-12,Casa,Cinema,154.12622716864738
2024-05-12,Transporte,Ônibus,186.2247855045234
2024-05-12,Transporte,Aluguel,188.99107970577205
2024-05-12,Lazer,Consulta médica,77.11632900964185
2024-05-12,Alimentação,Consulta médica,123.15384953117903
2024-05-13,Casa,Aluguel,26.998310804854675
2024-05-13,Casa,Ônibus,70.56620073905188
2024-05-13,Saúde,Uber,86.43247163130732
2024-05-13,Transporte,Uber,120.19237845573298
2024-05-13,Casa,Ônibus,32.68166894740654
2024-05-13,Lazer,Restaurante X,149.2498707557419
2024-05-14,Casa,Ônibus,67.50447017543195
2024-05-14,Saúde,Ônibus,42.66052817736609
2024-05-14,Saúde,Cinema,12.511964777454196
2024-05-14,Transporte,Cinema,66.52484082896797
2024-05-14,Lazer,Aluguel,55.1850398661448
2024-05-15,Lazer,Cinema,69.4863471291744
2024-05-15,Transporte,Cinema,30.800217881582395
2024-05-15,Casa,Consulta médica,172.8709110824823
2024-05-15,Lazer,Aluguel,92.99913926959739
2024-05-15,Lazer,Ônibus,56.98941422884867
2024-05-15,Casa,Uber,12.508656040838165
2024-05-16,Alimentação,Aluguel,87.4525236585114
2024-05-16,Saúde,Consulta médica,183.47089161876022
2024-05-16,Alimentação,Cinema,70.0503301284612
2024-05-16,Casa,Consulta médica,170.93704428454708
2024-05-16,Casa,Cinema,124.08526432908432
2024-05-17,Casa,Uber,63.47989493385831
2024-05-17,Alimentação,Restaurante X,107.59542648917392
2024-05-17,Transporte,Uber,21.56956310609008
2024-05-17,Transporte,Cinema,102.51903644273595
2024-05-17,Lazer,Aluguel,21.882070758774805
2024-05-17,Saúde,Ônibus,112.33252676462106
2024-05-18,Transporte,Restaurante X,119.06837851189367
2024-05-18,Alimentação,Aluguel,16.450187371336952
2024-05-18,Lazer,Ônibus,144.94186777160832
2024-05-18,Lazer,Uber,199.4425235380138
2024-05-18,Saúde,Restaurante X,54.06188821735501
2024-05-19,Saúde,Uber,56.20743503087363
2024-05-19,Saúde,Aluguel,76.14534052176784
2024-05-19,Lazer,Cinema,28.735093250052255
2024-05-19,Lazer,Aluguel,139.7902638640999
2024-05-19,Casa,Aluguel,167.78841910717853
2024-05-19,Transporte,Aluguel,124.73176208183615
2024-05-20,Transporte,Aluguel,99.56876200991363
2024-05-20,Transporte,Restaurante X,160.1450618311331
2024-05-20,Lazer,Ônibus,192.87836700892717
2024-05-20,Lazer,Cinema,52.76374694655301
2024-05-20,Casa,Ônibus,70.2208990720206
2024-05-21,Lazer,Ônibus,111.341183511346
2024-05-21,Saúde,Consulta médica,160.75929636770124
2024-05-21,Saúde,Restaurante X,136.53511252243092
2024-05-21,Transporte,Cinema,111.67141561154756
2024-05-21,Transporte,Ônibus,102.47134576358873
2024-05-21,Casa,Consulta médica,70.0732813097114
2024-05-22,Alimentação,Aluguel,137.92932493627973
2024-05-22,Alimentação,Ônibus,132.86085008490755
2024-05-22,Alimentação,Consulta médica,141.51153856805763
2024-05-22,Casa,Aluguel,141.24760716895673
2024-05-22,Casa,Restaurante X,35.492932715092266
2024-05-23,Casa,Uber,95.42738806096921
2024-05-23,Transporte,Consulta médica,41.09354572996788
2024-05-23,Saúde,Aluguel,156.25192277649606
2024-05-23,Transporte,Cinema,63.34326550924263
2024-05-23,Casa,Aluguel,136.21051659916427
2024-05-23,Alimentação,Consulta médica,119.82286163597544
2024-05-24,Casa,Uber,197.02517878397214
2024-05-24,Alimentação,Ônibus,145.63041063301742
2024-05-24,Casa,Cinema,139.043042459185
2024-05-24,Casa,Ônibus,71.74936911600601
2024-05-24,Transporte,Cinema,167.86960230189544
2024-05-25,Transporte,Cinema,179.14271552547186
2024-05-25,Lazer,Cinema,100.4755656183276
2024-05-25,Lazer,Uber,101.30874282424048
2024-05-25,Casa,Cinema,168.4774301284304
2024-05-25,Transporte,Consulta médica,167.59893350268047
2024-05-25,Casa,Cinema,181.24856653615794
2024-05-26,Casa,Aluguel,18.973728288097675
2024-05-26,Alimentação,Aluguel,157.0242695418092
2024-05-26,Saúde,Cinema,182.00450699705533
2024-05-26,Lazer,Restaurante X,22.877339757147848
2024-05-26,Lazer,Aluguel,88.54196858914052
2024-05-27,Transporte,Aluguel,9.324978439579525
2024-05-27,Casa,Cinema,126.48715921789862
2024-05-27,Alimentação,Restaurante X,180.7066585724675
2024-05-27,Saúde,Uber,177.00006044614236
2024-05-27,Saúde,Uber,189.67979517246255
2024-05-27,Alimentação,Uber,116.65143065063741
2024-05-28,Lazer,Uber,138.62979009217713
2024-05-28,Transporte,Restaurante X,14.884870650985343
2024-05-28,Lazer,Consulta médica,39.03467201006145
2024-05-28,Transporte,Uber,40.214436074995845
2024-05-28,Transporte,Consulta médica,55.52444794224119
2024-05-29,Saúde,Aluguel,196.56203796127915
2024-05-29,Transporte,Cinema,70.36411365612875
2024-05-29,Transporte,Aluguel,193.56236165111244
2024-05-29,Saúde,Cinema,187.40141336820662
2024-05-29,Alimentação,Uber,179.2127738298206
2024-05-29,Alimentação,Uber,25.998905495416718
2024-05-30,Transporte,Restaurante X,34.90481917333773
2024-05-30,Transporte,Consulta médica,11.811869940462309
2024-05-30,Lazer,Consulta médica,11.093288333625775
2024-05-30,Transporte,Uber,33.602834691644496
2024-05-30,Saúde,Cinema,105.8628254282309
2024-05-31,Transporte,Cinema,63.35722077361418
2024-05-31,Casa,Restaurante X,102.73698611499943
2024-05-31,Casa,Consulta médica,63.946362414497926
2024-05-31,Alimentação,Restaurante X,39.517077536628086
2024-05-31,Casa,Ônibus,162.70208622741063
2024-06-01,Lazer,Cinema,119.10596357486205
2024-06-01,Alimentação,Cinema,170.53034955985646
2024-06-01,Lazer,Aluguel,71.51125644872887
2024-06-01,Transporte,Uber,91.23881966058298
2024-06-01,Lazer,Aluguel,78.34799133627634
2024-06-01,Transporte,Consulta médica,79.53230697875917
2024-06-02,Lazer,Ônibus,125.33874703270548
2024-06-02,Saúde,Uber,105.57943841364494
2024-06-02,Alimentação,Ônibus,36.26846923199372
2024-06-02,Lazer,Cinema,198.61238944161738
2024-06-02,Alimentação,Consulta médica,19.315092181363887
2024-06-03,Saúde,Restaurante X,135.00786699917793
2024-06-03,Saúde,Ônibus,39.81158536337905
2024-06-03,Lazer,Restaurante X,166.43800017037535
2024-06-03,Transporte,Ônibus,192.5477429054939
2024-06-03,Transporte,Cinema,119.50749691639224
2024-06-03,Transporte,Aluguel,187.23964289579428
2024-06-04,Casa,Uber,33.488327761723916
2024-06-04,Lazer,Aluguel,143.0106031799193
2024-06-04,Lazer,Cinema,69.73720150105245
2024-06-04,Saúde,Cinema,110.68154933383705
2024-06-04,Casa,Restaurante X,13.728676505892668
2024-06-05,Saúde,Ônibus,56.080289208256545
2024-06-05,Lazer,Cinema,188.32073691490825
2024-06-05,Saúde,Consulta médica,72.44529336202523
2024-06-05,Lazer,Aluguel,19.068963243644085
2024-06-05,Transporte,Cinema,85.05041178803268
2024-06-05,Saúde,Restaurante X,20.371424234071025
2024-06-06,Transporte,Ônibus,57.31931622858955
2024-06-06,Alimentação,Uber,40.4989822044071
2024-06-06,Lazer,Cinema,114.36594583553385
2024-06-06,Lazer,Uber,187.3454027883436
2024-06-06,Lazer,Cinema,85.01838987937602
2024-06-07,Casa,Ônibus,119.66209386386156
2024-06-07,Lazer,Uber,134.0352548130521
2024-06-07,Alimentação,Ônibus,101.92912260661167
2024-06-07,Casa,Consulta médica,172.32780869962647
2024-06-07,Alimentação,Ônibus,16.491662850687305
2024-06-07,Saúde,Cinema,140.27148719035583
2024-06-08,Transporte,Aluguel,166.49487788716476
2024-06-08,Saúde,Restaurante X,167.10601485174143
